TIME_PERIOD#es,TIME_PERIOD_CODE,UNIVERSIDADES#es,UNIVERSIDADES_CODE,SEXO#es,SEXO_CODE,PROCEDIMIENTO_ACCESO#es,PROCEDIMIENTO_ACCESO_CODE,CONVOCATORIA#es,CONVOCATORIA_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,153,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,260,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,137,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,123,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,258,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,119,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,139,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,257,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,112,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Presentados,PRESENTADOS,145,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,1001,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,558,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,443,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,833,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,453,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,380,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,672,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,384,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,288,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,647,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,358,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,289,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,619,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,345,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,274,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,510,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,268,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,242,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,499,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,233,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,266,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,523,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,218,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Total,_T,Matriculados,MATRICULADOS,305,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,481,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,263,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,218,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,286,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,163,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,123,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,236,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,133,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,103,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,179,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,94,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,85,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,167,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,90,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,77,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,155,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,90,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,65,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,146,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,79,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,67,,,,
